Name	Blood_Type	Can_Fly	Have_Legs	Have_Wings	Class
Human	Warm	No	Yes	No	Mammal
Python	Cold	No	No	No	Non-Mammal
Salmon	Cold	No	No	No	Non-Mammal
Whale	Warm	No	No	No	Mammal
Frog	Cold	No	Yes	No	Non-Mammal
Komodo	Cold	No	Yes	No	Non-Mammal
Bat	Warm	Yes	Yes	Yes	Mammal
Pigeon	Warm	Yes	Yes	Yes	Non-Mammal
Cat	Warm	No	Yes	No	Mammal
Leopard_Shark	Cold	No	No	No	Non-Mammal
Turtle	Cold	No	Yes	No	Non-Mammal
Penguin	Warm	No	Yes	Yes	Non-Mammal
Porcupine	Warm	No	Yes	No	Mammal
Eel	Cold	No	No	No	Non-Mammal
Salamander	Cold	No	Yes	No	Non-Mammal
Gila_Monster	Cold	No	Yes	No	Non-Mammal
Platypus	Warm	No	Yes	No	Mammal
Owl	Warm	Yes	Yes	Yes	Non-Mammal
Dolphin	Warm	Yes	No	No	Mammal
Eagle	Warm	Yes	Yes	Yes	Non-Mammal
