type,text
ham,go jurong point  crazy   available bugis n great world la e buffet    cine got amore wat   
ham,ok lar    joking wif u oni   
spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005  text fa 87121 receive entry question(std txt rate)t&c's apply 08452810075over18's
ham,u dun say early hor    u c already say   
ham,nah i think goes usf  lives around though
spam,freemsg hey darling 3 week's word back  i'd like fun still  tb ok  xxx std chgs send  £1 50 rcv
ham,even brother like speak me  they treat like aids patent 
ham,as per request 'melle melle (oru minnaminunginte nurungu vettam)' set callertune callers  press *9 copy friends callertune
spam,winner   as valued network customer selected receivea £900 prize reward  to claim call 09061701461  claim code kl341  valid 12 hours only 
spam,had mobile 11 months more  u r entitled update latest colour mobiles camera free  call the mobile update co free 08002986030
ham,i'm gonna home soon want talk stuff anymore tonight  k  i've cried enough today 
spam,six chances win cash  from 100 20 000 pounds txt> csh11 send 87575  cost 150p/day  6days  16+ tsandcs apply reply hl 4 info
spam,urgent  you 1 week free membership £100 000 prize jackpot  txt word: claim no: 81010 t&c www dbuk net lccltd pobox 4403ldnw1a7rw18
ham,i've searching right words thank breather  i promise wont take help granted fulfil promise  you wonderful blessing times 
ham,i have a date on sunday with will  
spam,xxxmobilemovieclub: to use credit  click wap link next txt message click here>> http://wap  xxxmobilemovieclub com n=qjkgighjjgcbl
ham,oh k   i'm watching here:)
ham,eh u remember 2 spell name    yes did  he v naughty make v wet 
ham,fine that's way u feel  that's way gota b
spam,england v macedonia - dont miss goals/team news  txt ur national team 87077 eg england 87077 try:wales  scotland 4txt/ú1 20 poboxox36504w45wq 16+
ham,is seriously spell name 
ham,i‘m going try 2 months ha ha joking
ham,so ü pay first lar    then da stock comin   
ham,aft finish lunch go str lor  ard 3 smth lor  u finish ur lunch already 
ham,ffffffffff  alright way i meet sooner 
ham,just forced eat slice  i'm really hungry tho  this sucks  mark getting worried  he knows i'm sick i turn pizza  lol
ham,lol always convincing 
ham,did catch bus   are frying egg   did make tea  are eating mom's left dinner   do feel love  
ham,i'm back &amp; we're packing car now  i'll let know there's room
ham,ahhh  work  i vaguely remember that  what feel like  lol
ham,wait that's still clear  sure sarcastic that's x want live us
ham,yeah got 2 v apologetic  n fallen actin like spoilt child got caught that  till 2  but go there  not badly cheers  you 
ham,k tell anything you 
ham,for fear fainting housework did  quick cuppa
spam,thanks subscription ringtone uk mobile charged £5/month please confirm replying yes no  if reply no charged
ham,yup    ok go home look timings msg ü again    xuhui going learn 2nd may lesson 8am
ham,oops  i'll let know roommate's done
ham,i see letter b car
ham,anything lor    u decide   
ham,hello  how's saturday go  i texting see decided anything tomo  not i'm trying invite anything 
ham,pls go ahead watts  i wanted sure  do great weekend  abiola
ham,did i forget tell   i want   i need you  i crave     but     i love sweet arabian steed     mmmmmm     yummy
spam,07732584351 - rodger burns - msg = we tried call reply sms free nokia mobile + free camcorder  please call 08000930705 delivery tomorrow
ham,who are you seeing 
ham,great  i hope like man well endowed  i &lt;#&gt; inches   
ham,no calls  messages  missed calls
ham,didn't get hep b immunisation nigeria 
ham,fair enough  anything going on 
ham,yeah hopefully  tyler can't i could maybe ask around bit
ham,u know stubborn i am  i even want go hospital  i kept telling mark i'm weak sucker  hospitals weak suckers 
ham,what thinked me  first time saw class 
ham,a gram usually runs like &lt;#&gt;   half eighth smarter though gets almost whole second gram &lt;#&gt;
ham,k fyi x ride early tomorrow morning he's crashing place tonight
ham,"wow  i never realized embarassed accomodations  i thought liked it  since best could always seemed happy ""the cave""  i'm sorry i give  i'm sorry offered  i'm sorry room embarassing "
spam,sms  ac sptv: the new jersey devils detroit red wings play ice hockey  correct incorrect  end  reply end sptv
ham,do know mallika sherawat yesterday  find @ &lt;url&gt;
spam,congrats  1 year special cinema pass 2 yours  call 09061209465 now  c suprman v  matrix3  starwars3  etc 4 free  bx420-ip4-5we  150pm  dont miss out 
ham,sorry  i'll call later meeting 
ham,tell reached
ham,yes  gauti sehwag odi series 
ham,your gonna pick $1 burger way home  i can't even move  pain killing me 
ham,ha ha ha good joke  girls situation seekers 
ham,its part checking iq
ham,sorry roommates took forever  ok i come now 
ham,ok lar double check wif da hair dresser already said wun cut v short  he said cut look nice 
spam,as valued customer  i pleased advise following recent review mob no  awarded £1500 bonus prize  call 09066364589
ham,"today ""song dedicated day  "" which song u dedicate me  send ur valuable frnds first rply me   "
spam,urgent ur awarded complimentary trip eurodisinc trav  aco&entry41 or £1000  to claim txt dis 87121 18+6*£1 50(morefrmmob  shracomorsglsuplt)10  ls1 3aj
spam,"did hear new ""divorce barbie""  it comes ken's stuff "
ham,i plane give month end 
ham,wah lucky man    then save money    hee   
ham,finished class you 
ham,hi babe im at home now wanna do something  xx
ham,k  k:)where you how performed 
ham,u call now   
ham,i waiting machan  call free 
ham,thats cool  gentleman treat dignity respect 
ham,i like peoples much:) shy pa 
ham,does operate &lt;#&gt;
ham,its here  still looking job  how much ta's earn there 
ham,sorry  i'll call later
ham,k  did call ah 
ham,ok way home hi hi
ham,you place man
ham,yup next stop 
ham,i call later  network  if urgnt  sms me 
ham,for real u getting yo  i need 2 tickets one jacket i'm done  i already used multis 
ham,yes i started send requests make pain came back i'm back bed  double coins factory too  i gotta cash nitros 
ham,i'm really still tonight babe
ham,ela kano  il download  come wen ur free  
ham,yeah do  don‘t stand close tho- you‘ll catch something 
ham,sorry pain  is ok meet another night  i spent late afternoon casualty means done stuff42moro includes time sheets that  sorry 
ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling  
